factor,frequency,weighting,portfolio_type,return_gross,sharpe_gross,sortino_gross,max_dd,calmar,hit_rate,return_net,sharpe_net,avg_turnover,mean_ic,ic_ir,alpha,beta,r_squared
momentum,quarterly,equal,long_only,0.20415671216414255,1.102186081791003,0.9183738374156254,-0.20410196915049622,1.0002682140396497,0.675,0.20037944876440839,1.0843323871201593,0.814203633059306,-0.0044332439847317,-0.025550756112345807,0.011629538367171092,1.1007498059963388,0.852917396293867
momentum,quarterly,equal,long_short,0.00543084814464434,0.11089047020652504,0.09699917082663587,-0.1939775577564236,0.02799730137577988,0.275,0.0021967462131242677,0.06592808166918213,0.8069423039576445,-0.0044332439847317,-0.025550756112345807,0.004181313112188906,-0.06004323868038882,0.01748168713361098
momentum,quarterly,cap_weight,long_only,0.28356658459823647,1.1949124981684751,1.1570483962048022,-0.27399990635278254,1.0349148960406451,0.725,0.27901917398154263,1.1786826208629075,0.9334691941029944,-0.0044332439847317,-0.025550756112345807,0.025229965988849083,1.2590361527677834,0.6948393650432971
momentum,quarterly,cap_weight,long_short,-0.005433779264626515,0.02488322775046869,0.01971966075848364,-0.3720174264848961,-0.014606249271624178,0.375,-0.009165679779365554,-0.0040702563976275094,0.9396460743506744,-0.0044332439847317,-0.025550756112345807,-0.001316909304508137,0.05814760547205082,0.004999440316419634
momentum,annual,equal,long_only,0.2239899949036659,1.2437580701366298,2.192481467701309,-0.10869691017270501,2.060684103603087,0.8888888888888888,0.2225534952637347,1.2364854751104666,1.4193827661236038,0.03657474375894426,0.18488015944783,0.08223795855569817,0.9619494683075607,0.6955776959292146
momentum,annual,equal,long_short,0.015853488204459865,0.18476665869160702,0.16856813469917376,-0.2531617058120373,0.06262198365905491,0.2222222222222222,0.01440733131266203,0.1733292339172722,1.4350753350654282,0.03657474375894426,0.18488015944783,0.02214069575469181,0.0060393157620202325,6.42836604215491e-05
momentum,annual,cap_weight,long_only,0.278309486922244,0.9977537896236872,1.5865903771638323,-0.28185853355839785,0.9874084116193043,0.7777777777777778,0.276888829795932,0.9935204717327566,1.3821627959519733,0.03657474375894426,0.18488015944783,0.06755126296821767,1.5505263521351398,0.6485654340890192
momentum,annual,cap_weight,long_short,-0.0734038812069957,-0.2118798938035533,-0.18565406774123983,-0.6566567672105121,-0.11178424539629203,0.3333333333333333,-0.07502434618659315,-0.21876654987998795,1.5291716427172224,0.03657474375894426,0.18488015944783,-0.056448481168950404,0.06179981086269077,0.002195805009031049
quality,monthly,equal,long_only,0.2317334262250954,1.2963955010766268,1.190834976800298,-0.2410700879562889,0.9612699285492174,0.6885245901639344,0.23158345102294708,1.29569099402592,0.01035357183952096,0.03559755291972691,0.38589920361174507,0.005058607715650051,1.1146754068721216,0.9225497739853856
quality,monthly,equal,long_short,0.0423987164435784,1.2436346205095943,1.5110517611188468,-0.0602310541784489,0.7039344906360441,0.3114754098360656,0.042269770104728766,1.2401068910479751,0.010355570089567856,0.03559755291972691,0.38589920361174507,0.003448866455025139,0.00526712572565723,0.0005408718655068867
quality,monthly,cap_weight,long_only,0.3293247053178252,1.5474102116084751,1.4943310244802925,-0.31286893258005655,1.052596378304701,0.680327868852459,0.3290899531501308,1.5464095893317646,0.01486247161077479,0.03559755291972691,0.38589920361174507,0.01127859886448549,1.1679384041695722,0.7729835698607899
quality,monthly,cap_weight,long_short,0.009337279259554965,0.15261885330264305,0.14202638843900503,-0.2715241195257833,0.034388397155517954,0.4098360655737705,0.009181038947140507,0.1507690424759907,0.01287455150076726,0.03559755291972691,0.38589920361174507,0.0023233410487398004,-0.1020652942895539,0.03310662051642055
quality,quarterly,equal,long_only,0.2284228510770887,1.2161650368289023,1.0342347567356567,-0.23480635379170342,0.9728137564783382,0.75,0.22827389436032752,1.2153637334051395,0.031022838554983372,0.06869846589168764,0.7323390797335926,0.015142027717310338,1.1477368666570793,0.9315948281997135
quality,quarterly,equal,long_short,0.04636983511068138,1.2222695097057055,1.7760899752049466,-0.04530690296468715,1.0234607107623908,0.25,0.046239892509681635,1.2176645854316395,0.03102262008631328,0.06869846589168764,0.7323390797335926,0.010102000937117186,0.0401308443942289,0.028004977615501025
quality,quarterly,cap_weight,long_only,0.3319882728332264,1.4083955625090308,1.326909341677092,-0.3078477260905863,1.0784171676341587,0.8,0.331751494853447,1.4073532632334826,0.045283996890433914,0.06869846589168764,0.7323390797335926,0.03353117404869138,1.289324158870241,0.7898774080712339
quality,quarterly,cap_weight,long_short,0.013097194290723868,0.18628101991154747,0.18704744486215305,-0.28154246328482835,0.046519427790449555,0.325,0.01294346160889992,0.1846227897409137,0.037865833882235134,0.06869846589168764,0.7323390797335926,0.002197219970444003,0.05752306388883593,0.009677820982002205
quality,annual,equal,long_only,0.2472507665167536,1.3584422424235476,2.348628403818976,-0.11142237923472165,2.21904044963801,1.0,0.24712134282256426,1.3580091359336868,0.13532689658087357,0.14785440894743995,1.433997962328303,0.08443195125530945,1.092486170723987,0.8875980625467423
quality,annual,equal,long_short,0.060196965437489425,0.8015225176780045,1.4668005758904283,-0.042727675311567334,1.4088518740731202,0.2222222222222222,0.0600603823264485,0.799401358643739,0.13413040165124587,0.14785440894743995,1.433997962328303,0.041106502126281655,0.1329198245745526,0.07974911419677477
quality,annual,cap_weight,long_only,0.34344896760896115,1.1915498819536205,2.1718053086530196,-0.24585422992636732,1.3969618001358903,0.7777777777777778,0.3432500471764144,1.19104078269813,0.20105283399340027,0.14785440894743995,1.433997962328303,0.0874898937660833,1.8305769110155279,0.8881242479282677
quality,annual,cap_weight,long_short,-0.09352910219279709,-0.05073893637037843,-0.027145700063047232,-0.7727322438639707,-0.12103688300246683,0.2222222222222222,-0.09368327085608463,-0.05131175308417068,0.1650516186117864,0.14785440894743995,1.433997962328303,-0.05022664902097576,0.21802328806058802,0.01531070029094972
size,monthly,equal,long_only,0.11015744222287793,0.6838869368315379,0.6331259947574838,-0.24766251734803052,0.4447885106008107,0.5081967213114754,0.11002674455465877,0.6832110410895409,0.009905326792284973,-0.03868146644328139,-0.4315216172159655,-0.0032878807047153633,1.0831332011804142,0.8481156646064477
size,monthly,equal,long_short,-0.04810296702478989,-1.4383953454045106,-1.1909130667152759,-0.39911354369670493,-0.12052451685614653,0.27049180327868855,-0.04821685817138399,-1.4426133584862098,0.009974884794469108,-0.03868146644328139,-0.4315216172159655,-0.004409246516185963,0.029028341816184057,0.016523218556866337
size,monthly,cap_weight,long_only,0.11470635406821961,0.7132942230606303,0.6486415156856961,-0.24672136963646393,0.46492265439850533,0.5,0.11456654500488472,0.7125650708220463,0.010552846483151006,-0.03868146644328139,-0.4315216172159655,-0.0028595295634488115,1.0738848589114158,0.852630134746697
size,monthly,cap_weight,long_short,-0.07547156874490357,-1.3593074463283554,-1.1369785574186322,-0.558944602823432,-0.13502513194271723,0.2786885245901639,-0.0755780261738227,-1.362036541773214,0.009662823465495091,-0.03868146644328139,-0.4315216172159655,-0.006015876017320141,-0.030019632160306866,0.006356071021694554
size,quarterly,equal,long_only,0.10056711863084566,0.6098240401277115,0.5629260645557508,-0.24060878982078843,0.41796942956967875,0.375,0.10044034699384974,0.6091950300670281,0.029673612307867015,-0.07148372804340217,-0.8609723912251325,-0.011137484811134964,1.0865381532494767,0.8383321634092997
size,quarterly,equal,long_short,-0.05139493655602356,-1.390242667243239,-1.0496555904066587,-0.40999677586181815,-0.1253544895517551,0.225,-0.05150923065483681,-1.3940998930844122,0.0298886239720212,-0.07148372804340217,-0.8609723912251325,-0.01473861258600563,0.04943982095905557,0.044001788428524646
